day,count
2022-01-03,6892
2022-01-04,1145842
2022-01-05,1390083
2022-01-06,234
2022-01-07,43736
2022-01-08,6
2022-01-10,170
2022-01-11,4110
2022-01-12,5304
2022-01-13,3759
2022-01-14,2088
2022-01-15,919
2022-01-17,22947
2022-01-18,6433
2022-01-19,5551
2022-01-20,6352
2022-01-21,7081
2022-01-22,10
2022-01-24,31922
2022-01-25,5482
2022-01-26,5466
2022-01-27,6204
2022-01-28,5080
2022-01-29,7
2022-01-31,6534
2022-02-01,2925
2022-02-02,6816
2022-02-03,350
2022-02-04,12822
2022-02-05,17
2022-02-07,401
2022-02-08,4313
2022-02-09,5361
2022-02-10,6708
2022-02-11,649
2022-02-12,23
2022-02-14,7643
2022-02-15,5118
2022-02-16,694
2022-02-17,405
2022-02-18,790
2022-02-19,11
2022-02-21,751
2022-02-22,335
2022-02-23,484
2022-02-24,298
2022-02-25,291
2022-02-26,2
2022-02-28,11659
2022-03-01,3445
2022-03-02,37947
2022-03-03,1221
2022-03-04,311
2022-03-05,10
2022-03-06,2
2022-03-07,343
2022-03-08,268
2022-03-09,478
2022-03-10,4964
2022-03-11,4932
2022-03-12,47
2022-03-14,9942
2022-03-15,815
2022-03-16,5030
2022-03-17,5888
2022-03-18,4885
2022-03-19,4
2022-03-21,13492
2022-03-22,3810
2022-03-23,143
2022-03-24,5106
2022-03-25,2911
2022-03-26,21
2022-03-28,206
2022-03-29,357
2022-03-30,562
2022-03-31,349
2022-04-01,1615
2022-04-02,3
2022-04-04,23582
2022-04-05,4781
2022-04-06,4865
2022-04-07,4939
2022-04-08,10762
2022-04-11,3602
2022-04-12,216
2022-04-13,677
2022-04-14,431
2022-04-15,165
2022-04-18,96
2022-04-19,1
2022-04-20,367
2022-04-21,3
2022-04-22,968
2022-04-23,631
2022-04-25,350
2022-04-26,641
2022-04-27,536
2022-04-28,253
2022-04-29,883
2022-05-02,4201
2022-05-03,1221
2022-05-04,581
2022-05-05,37314
2022-05-06,30064
2022-05-09,328
2022-05-10,4564
2022-05-11,5000
2022-05-12,4605
2022-05-13,4616
2022-05-16,8278
2022-05-17,5226
2022-05-18,4656
2022-05-19,643
2022-05-20,3
2022-05-21,33
2022-05-23,1447
2022-05-24,297
2022-05-25,554
2022-05-26,191
2022-05-27,159
2022-05-28,24
2022-05-30,278
2022-05-31,451
2022-06-01,3231
2022-06-02,2001
2022-06-03,5660
2022-06-04,11
2022-06-07,554
2022-06-08,14885
2022-06-09,12412
2022-06-10,17114
2022-06-11,5
2022-06-13,21261
2022-06-14,4876
2022-06-15,5214
2022-06-16,4780
2022-06-17,4582
2022-06-18,12
2022-06-20,80733
2022-06-21,4752
2022-06-22,4840
2022-06-23,5012
2022-06-24,5393
2022-06-25,9
2022-06-26,15
2022-06-27,15506
2022-06-28,4815
2022-06-29,5444
2022-06-30,5002
2022-07-01,5500
2022-07-02,4
2022-07-04,17368
2022-07-05,5068
2022-07-06,5986
2022-07-07,4697
2022-07-08,44094
2022-07-09,21
2022-07-10,1
2022-07-11,6958
2022-07-12,3271
2022-07-13,430
2022-07-14,265
2022-07-15,542
2022-07-16,4
2022-07-18,524
2022-07-19,578
2022-07-20,13419
2022-07-21,526
2022-07-22,385
2022-07-23,29
2022-07-24,866
2022-07-25,309
2022-07-26,489
2022-07-27,501
2022-07-28,307
2022-07-29,1370
2022-07-30,17
2022-08-01,10926
2022-08-02,12783
2022-08-03,8174
2022-08-04,4793
2022-08-05,4787
2022-08-06,9
2022-08-08,13609
2022-08-09,4975
2022-08-10,4860
2022-08-11,4806
2022-08-12,6748
2022-08-13,27
2022-08-15,14787
2022-08-16,5229
2022-08-17,29
2022-08-18,40
2022-08-19,2
2022-08-20,3
2022-08-23,32561
2022-08-24,5030
2022-08-25,11144
2022-08-26,4646
2022-08-27,4
2022-08-29,13809
2022-08-30,5158
2022-08-31,5248
2022-09-01,827
2022-09-02,3303
2022-09-03,2
2022-09-05,233
2022-09-06,4590
2022-09-07,4881
2022-09-08,4746
2022-09-09,4600
2022-09-10,5
2022-09-12,2269181
2022-09-13,5375
2022-09-14,4745
2022-09-15,4839
2022-09-16,4809
2022-09-17,12
2022-09-19,12294
2022-09-20,4819
2022-09-21,6008
2022-09-22,4939
2022-09-23,4498
2022-09-24,10
2022-09-26,14202
2022-09-27,5389
2022-09-28,4903
2022-09-29,10320
2022-09-30,4861
2022-10-01,3
2022-10-03,9657
2022-10-04,6005
2022-10-05,5194
2022-10-06,5008
2022-10-07,4780
2022-10-08,2
2022-10-10,13209
2022-10-11,6065
2022-10-12,4919
2022-10-13,4719
2022-10-14,5105
2022-10-15,25
2022-10-17,15105
2022-10-18,4695
2022-10-19,4916
2022-10-20,4757
2022-10-21,7029
2022-10-22,17
2022-10-24,13847
2022-10-25,5717
2022-10-26,4727
2022-10-27,5497
2022-10-28,6011
2022-10-29,7
2022-10-31,13670
2022-11-01,4839
2022-11-02,18496
2022-11-03,4774
2022-11-04,650476
2022-11-05,43
2022-11-07,13998
2022-11-08,4781
2022-11-09,22432
2022-11-10,32
2022-11-11,5455
2022-11-12,3294
2022-11-13,2001
2022-11-14,287
2022-11-15,6936
2022-11-16,593
2022-11-17,314
2022-11-18,33938
2022-11-21,13769
2022-11-22,10290
2022-11-23,2764
2022-11-24,4813
2022-11-25,4708
2022-11-28,14412
2022-11-29,5830
2022-11-30,5254
2022-12-01,12485
2022-12-02,5514
2022-12-05,26758
2022-12-06,4677
2022-12-07,565
2022-12-08,245
2022-12-09,377
2022-12-12,413
2022-12-13,4547
2022-12-14,4698
2022-12-15,1041
2022-12-16,229
2022-12-17,8
2022-12-19,1120
2022-12-20,73365
2022-12-21,4622
2022-12-22,7778
2022-12-23,4866
2022-12-24,3
2022-12-25,1
2022-12-26,13879
2022-12-27,4559
2022-12-28,4543
2022-12-29,2023
2022-12-30,72
2023-01-02,4979
2023-01-03,461
2023-01-04,2235
2023-01-05,183
2023-01-06,499
2023-01-07,7
2023-01-09,326
2023-01-10,3470
2023-01-11,6038
2023-01-12,5089
2023-01-13,4855
2023-01-14,6
2023-01-16,13657
2023-01-17,9
2023-01-18,692
2023-01-19,25649
2023-01-20,282
2023-01-21,9
2023-01-23,350
2023-01-24,489
2023-01-25,456
2023-01-26,6223
2023-01-27,310
2023-01-28,15
2023-01-30,1728
2023-01-31,486
2023-02-01,1979
2023-02-02,4154
2023-02-03,3341
2023-02-04,14
2023-02-06,11834
2023-02-07,4991
2023-02-08,5029
2023-02-09,6010
2023-02-10,11451
2023-02-11,5
2023-02-13,2772
2023-02-14,550
2023-02-15,444
2023-02-16,714
2023-02-17,408
2023-02-18,16
2023-02-20,457
2023-02-21,602
2023-02-22,474
2023-02-23,3045840
2023-02-24,343
2023-02-25,11
2023-02-27,3473
2023-02-28,842
2023-03-01,2671
2023-03-02,54256
2023-03-03,1203
2023-03-04,30
2023-03-06,2421
2023-03-07,4925
2023-03-08,5137
2023-03-09,7390
2023-03-10,4997
2023-03-11,12
2023-03-13,13671
2023-03-14,5686
2023-03-15,4926
2023-03-16,4788
2023-03-17,4761
2023-03-18,13
2023-03-20,13611
2023-03-21,6437
2023-03-22,4732
2023-03-23,356
2023-03-24,14403
2023-03-25,37
2023-03-26,28
2023-03-27,13845
2023-03-28,1152
2023-03-29,9775
2023-03-30,5164
2023-03-31,4772
2023-04-03,30374
2023-04-04,5189
2023-04-05,4717
2023-04-06,4855
2023-04-07,4733
2023-04-10,13488
2023-04-11,4234
2023-04-12,6229
2023-04-13,4726
2023-04-14,4726
2023-04-15,2
2023-04-17,385
2023-04-18,5110
2023-04-19,4757
2023-04-20,5202
2023-04-21,4958
2023-04-22,24
2023-04-24,14109
